iter	AUC	Logloss
352	0.7967888117	0.5924485946
353	0.7967885137	0.5923317234
354	0.7967890799	0.5922183184
355	0.7967872024	0.5921025482
356	0.7967910469	0.591987512
357	0.796792239	0.5918723943
358	0.7968069613	0.5917631486
359	0.7968139648	0.5916491727
360	0.7968242466	0.5915342588
361	0.796824038	0.5914209761
362	0.7968126833	0.5913114858
363	0.7968229055	0.5912014246
364	0.7968215942	0.5910923421
365	0.7968263924	0.5909796711
366	0.7968432903	0.5908713634
367	0.7968430519	0.5907622401
368	0.7968460917	0.5906524235
369	0.7968560457	0.5905446867
370	0.7968605459	0.5904362567
371	0.7968622446	0.5903285606
372	0.7968604267	0.5902238414
373	0.7968590856	0.5901150036
374	0.7968633175	0.5900068589
375	0.7968651056	0.5899010795
376	0.7968666553	0.5897955855
377	0.7968760133	0.589695882
378	0.7968811393	0.5895905511
379	0.796887666	0.5894874631
380	0.7968902588	0.5893823361
381	0.7970919907	0.5892829996
382	0.7970963717	0.5891801154
383	0.7970971465	0.5890778021
384	0.7970990241	0.5889741024
385	0.7971015275	0.5888734202
386	0.7971024811	0.5887735537
387	0.7970925272	0.5886722191
388	0.7970933616	0.588570232
389	0.7970957756	0.5884711402
390	0.7971080244	0.5883734349
391	0.7971159518	0.5882738946
392	0.7971246541	0.588179003
393	0.7971189618	0.5880790549
394	0.7971162498	0.5879822874
395	0.7971218824	0.5878860094
396	0.7971185446	0.5877904653
397	0.7971220613	0.5876905172
398	0.7971192598	0.5875917924
399	0.7971197665	0.5874935162
400	0.7971201241	0.5873973605
401	0.7971197069	0.5873034068
402	0.7971231043	0.5872063132
403	0.7971298993	0.5871115031
404	0.7971273661	0.5870168154
405	0.7971364558	0.5869226578
406	0.7971350551	0.5868295605
407	0.7971383035	0.5867347912
408	0.7971408665	0.586642591
409	0.7971498072	0.5865483927
410	0.7972787023	0.5864604334
411	0.7972862124	0.5863679885
412	0.7972908318	0.586276033
413	0.7972903848	0.5861844445
414	0.7972894013	0.5860950987
415	0.7972914279	0.5860068133
416	0.7973043025	0.5859191395
417	0.7973097265	0.585830854
418	0.7973203659	0.5857486037
419	0.7973158658	0.5856602367
420	0.7973134816	0.5855723182
421	0.7973121703	0.5854842367
422	0.7973122895	0.5853972153
423	0.7973217666	0.5853137009
424	0.7973230779	0.5852252116
425	0.7973150313	0.5851379455
426	0.7973171175	0.5850515359
427	0.7973217964	0.5849650854
428	0.7973305583	0.5848788389
429	0.7973327637	0.5847936934
430	0.7973302305	0.5847076507
431	0.7974254787	0.5846264607
432	0.7974244654	0.584540418
433	0.7974310219	0.5844547016
434	0.7974276841	0.5843718397
435	0.7974298	0.5842894671
436	0.7974388897	0.5842091742
437	0.7974377573	0.5841271278
438	0.7974416316	0.5840465495
439	0.7974389791	0.5839636468
440	0.7974403501	0.5838823344
441	0.7974461913	0.5837995948
442	0.7974510193	0.5837164067
443	0.7974492908	0.5836353798
444	0.7974471748	0.5835533334
445	0.7974512875	0.5834728774
446	0.7976510227	0.5833966624
447	0.7976569235	0.5833215076
448	0.7976548672	0.5832449255
449	0.7976657152	0.5831645103
450	0.797672689	0.5830841359
451	0.7976744771	0.5830051071
452	0.7976726294	0.5829267716
453	0.797672838	0.5828485584
454	0.7976793647	0.582770753
455	0.7976914644	0.5826964546
456	0.7976916134	0.5826214629
457	0.7976984978	0.5825441876
458	0.7977015078	0.5824668715
459	0.7977029979	0.5823911051
460	0.797709018	0.5823133404
461	0.797709167	0.5822398576
462	0.7977076471	0.5821643765
463	0.7977156639	0.5820877945
464	0.7977188528	0.5820150049
465	0.7977254689	0.5819438871
466	0.7977299392	0.5818690586
467	0.7977428436	0.5817944747
468	0.7977431417	0.5817202986
469	0.7977428436	0.5816461225
470	0.7977579236	0.5815798982
471	0.7980649769	0.5815104523
472	0.7980696857	0.5814386006
473	0.7980733216	0.5813653624
474	0.7980740964	0.5812926951
475	0.7980998158	0.581223127
476	0.7980993688	0.5811507451
477	0.7980951965	0.5810770583
478	0.7981110811	0.5810118943
479	0.7981133461	0.580941796
480	0.7981181741	0.5808707191
481	0.7981171012	0.580799112
482	0.7981179953	0.5807290953
483	0.798119843	0.5806589563
484	0.7981242239	0.5805893881
485	0.7981250286	0.5805199015
486	0.7981232703	0.5804505373
487	0.7981259823	0.5803801944
488	0.7981308401	0.5803181703
489	0.7981414795	0.5802526392
490	0.7981365919	0.5801856809
491	0.7981390357	0.5801163982
492	0.7981398106	0.5800510302
493	0.7981630266	0.579990311
494	0.7981691658	0.5799214769
495	0.798170805	0.5798537438
496	0.7981776595	0.5797845019
497	0.7981800437	0.579717462
498	0.7981978059	0.5796544184
499	0.7981978059	0.5795886427
500	0.7981966138	0.5795227446
501	0.7981941104	0.5794590486
502	0.7981927991	0.5793947817
503	0.7981962264	0.5793294137
504	0.7982008755	0.5792673896
505	0.7982194126	0.579207486
506	0.7982110977	0.5791439123
507	0.7982183397	0.5790795638
508	0.798222363	0.5790149298
