iter	Passed	Remaining
401	20419	741495
402	20466	741302
403	20512	741085
404	20563	741050
405	20616	741070
406	20667	741028
407	20717	740961
408	20763	740730
409	20809	740513
410	20853	740233
411	20902	740108
412	20949	739940
413	21002	739972
414	21056	740022
415	21103	739841
416	21151	739687
417	21201	739625
418	21256	739700
419	21305	739614
420	21354	739507
421	21407	739513
422	21459	739510
423	21513	739587
424	21567	739621
425	21615	739486
426	21676	739793
427	21725	739698
428	21775	739596
429	21826	739553
430	21877	739517
431	21924	739353
432	21984	739586
433	22032	739455
434	22090	739638
435	22138	739514
436	22189	739453
437	22235	739247
438	22283	739106
439	22332	739017
440	22381	738891
441	22430	738778
442	22486	738907
443	22537	738860
444	22584	738702
445	22634	738618
446	22693	738835
447	22748	738911
448	22794	738704
449	22841	738534
450	22893	738519
451	22939	738320
452	22994	738399
453	23045	738372
454	23091	738181
455	23146	738267
456	23199	738280
457	23251	738274
458	23304	738266
459	23356	738268
460	23408	738243
461	23455	738078
462	23503	737933
463	23550	737765
464	23596	737576
465	23648	737569
466	23699	737535
467	23749	737466
468	23797	737311
469	23847	737254
470	23899	737218
471	23949	737161
472	23998	737055
473	24045	736889
474	24093	736752
475	24140	736582
476	24193	736606
477	24240	736457
478	24290	736381
479	24338	736251
480	24395	736377
481	24443	736250
482	24496	736270
483	24546	736197
484	24620	736836
485	24676	736937
486	24724	736821
487	24778	736870
488	24835	736988
489	24895	737214
490	24949	737259
491	25003	737288
492	25055	737281
493	25109	737324
494	25162	737347
495	25221	737521
496	25275	737567
497	25332	737684
498	25388	737779
499	25437	737677
500	25487	737603
501	25545	737772
502	25595	737679
503	25653	737852
504	25704	737782
505	25752	737668
506	25815	737942
507	25860	737748
508	25907	737588
509	25966	737742
510	26016	737686
511	26077	737902
512	26128	737867
513	26178	737787
514	26229	737725
515	26274	737514
516	26320	737335
517	26367	737174
518	26416	737076
519	26469	737078
520	26522	737085
521	26571	736975
522	26626	737036
523	26678	737015
524	26735	737144
525	26785	737067
526	26835	736978
527	26888	736981
528	26946	737121
529	27003	737255
530	27053	737171
531	27108	737236
532	27161	737220
533	27223	737474
534	27285	737725
535	27334	737628
536	27384	737541
537	27438	737568
538	27494	737655
539	27544	737588
540	27596	737550
541	27648	737533
542	27695	737368
543	27746	737334
544	27802	737407
545	27856	737433
546	27911	737473
547	27962	737422
548	28009	737288
549	28064	737319
550	28116	737311
551	28173	737416
552	28223	737340
553	28273	737257
554	28320	737097
555	28365	736896
556	28416	736839
557	28471	736882
558	28527	736976
559	28578	736928
560	28643	737237
561	28698	737276
562	28757	737430
563	28806	737329
564	28855	737215
565	28901	737042
566	28948	736886
567	28997	736789
568	29053	736853
569	29106	736862
570	29157	736793
571	29214	736901
572	29266	736870
573	29318	736844
574	29379	737031
575	29430	737001
576	29484	736997
577	29544	737178
578	29598	737196
579	29658	737363
580	29708	737286
581	29757	737190
582	29822	737487
583	29873	737419
584	29932	737578
585	29981	737467
586	30027	737292
587	30073	737116
588	30166	738080
589	30217	738028
590	30263	737856
591	30313	737773
592	30357	737544
593	30408	737482
594	30461	737472
595	30511	737390
596	30562	737343
597	30611	737245
598	30661	737166
599	30712	737102
600	30758	736927
601	30815	737021
602	30865	736934
603	30915	736855
604	30977	737049
605	31035	737170
606	31089	737189
607	31140	737136
608	31185	736938
609	31243	737031
610	31311	737382
611	31365	737387
612	31418	737384
613	31470	737347
614	31525	737381
615	31579	737393
616	31629	737330
617	31684	737346
618	31732	737231
619	31784	737199
620	31836	737163
621	31890	737182
622	31947	737251
623	32005	737360
624	32064	737480
625	32113	737376
626	32169	737438
627	32228	737557
628	32281	737545
629	32331	737461
630	32380	737352
631	32429	737256
632	32489	737403
633	32540	737336
634	32590	737258
635	32645	737302
636	32700	737331
637	32759	737451
638	32810	737378
639	32865	737418
640	32916	737358
641	32963	737202
642	33012	737110
643	33062	737027
644	33122	737179
645	33173	737109
646	33224	737046
647	33288	737286
648	33342	737285
649	33390	737157
650	33443	737145
651	33492	737047
652	33540	736913
653	33595	736935
654	33646	736884
655	33699	736873
656	33754	736904
657	33804	736818
658	33862	736898
659	33922	737043
660	33974	737011
661	34028	737008
662	34100	737411
663	34163	737595
664	34219	737655
665	34270	737592
666	34327	737664
667	34376	737546
668	34431	737567
669	34485	737568
670	34537	737529
671	34591	737535
672	34642	737474
673	34690	737347
674	34743	737334
675	34789	737157
676	34848	737277
677	34899	737204
678	34951	737164
679	35008	737235
680	35057	737144
681	35110	737108
682	35171	737270
683	35224	737234
684	35270	737083
685	35331	737215
686	35379	737108
687	35428	737000
688	35482	737001
689	35534	736961
690	35585	736897
691	35642	736953
692	35691	736842
693	35746	736862
694	35803	736930
695	35849	736759
696	35911	736930
697	35969	737007
698	36022	736999
699	36071	736883
700	36131	737005
701	36180	736901
702	36237	736962
703	36285	736840
704	36338	736819
705	36390	736780
706	36446	736818
707	36505	736922
708	36558	736902
709	36611	736871
710	36671	736981
711	36726	737012
712	36777	736947
713	36833	736973
714	36884	736914
715	36934	736841
716	36990	736874
717	37039	736774
718	37091	736729
719	37143	736671
720	37200	736729
721	37252	736690
722	37308	736735
723	37372	736915
724	37431	737011
725	37485	737001
726	37538	736977
727	37592	736969
728	37646	736965
729	37698	736937
730	37762	737124
731	37817	737139
732	37876	737228
733	37926	737129
734	37979	737103
735	38029	737035
736	38076	736885
737	38128	736843
738	38189	736971
739	38247	737032
740	38299	736993
741	38355	737031
742	38407	736973
743	38454	736829
744	38505	736766
745	38558	736754
746	38618	736850
747	38673	736866
748	38727	736847
749	38787	736957
750	38840	736941
751	38894	736921
752	38946	736879
753	38997	736810
754	39048	736747
755	39096	736629
756	39150	736619
757	39198	736489
758	39250	736447
759	39300	736367
760	39352	736314
761	39404	736274
762	39456	736227
763	39510	736223
764	39560	736137
765	39609	736037
766	39665	736064
